old,new,oldupper
qid724_1,danc67,QID724_1
qid725_1,heal67,QID725_1
qid726_1,baby67,QID726_1
qid727_1,love67,QID727_1
qid1512_1,achi67,QID1512_1
qid1513_1,visi67,QID1513_1
qid1514,like67,QID1514
qid731,play68,QID731
qid732,uhoh68,QID732
qid733_1,danc68,QID733_1
qid734_1,heal68,QID734_1
qid735_1,baby68,QID735_1
qid736_1,love68,QID736_1
qid1515_1,achi68,QID1515_1
qid1516_1,visi68,QID1516_1
qid1517,like68,QID1517
qid740,play69,QID740
qid741,uhoh69,QID741
qid742_1,danc69,QID742_1
qid743_1,heal69,QID743_1
qid744_1,baby69,QID744_1
qid745_1,love69,QID745_1
qid1518_1,achi69,QID1518_1
qid1519_1,visi69,QID1519_1
qid1520,like69,QID1520
qid749,play70,QID749
qid750,uhoh70,QID750
qid751_1,danc70,QID751_1
qid752_1,heal70,QID752_1
qid753_1,baby70,QID753_1
qid754_1,love70,QID754_1
qid1521_1,achi70,QID1521_1
qid1522_1,visi70,QID1522_1
qid1523,like70,QID1523
qid758,play71,QID758
qid759,uhoh71,QID759
qid760_1,danc71,QID760_1
qid761_1,heal71,QID761_1
qid762_1,baby71,QID762_1
qid763_1,love71,QID763_1
qid1524_1,achi71,QID1524_1
qid1525_1,visi71,QID1525_1
qid1526,like71,QID1526
qid767,play72,QID767
qid768,uhoh72,QID768
qid769_1,danc72,QID769_1
qid770_1,heal72,QID770_1
qid771_1,baby72,QID771_1
qid772_1,love72,QID772_1
qid1527_1,achi72,QID1527_1
qid1528_1,visi72,QID1528_1
qid1529,like72,QID1529
qid776,play73,QID776
qid777,uhoh73,QID777
qid778_1,danc73,QID778_1
qid779_1,heal73,QID779_1
qid780_1,baby73,QID780_1
qid781_1,love73,QID781_1
qid1530_1,achi73,QID1530_1
qid1531_1,visi73,QID1531_1
qid1532,like73,QID1532
qid785,play74,QID785
qid786,uhoh74,QID786
qid787_1,danc74,QID787_1
qid788_1,heal74,QID788_1
qid789_1,baby74,QID789_1
qid790_1,love74,QID790_1
qid1533_1,achi74,QID1533_1
qid1534_1,visi74,QID1534_1
qid1535,like74,QID1535
qid794,play75,QID794
qid795,uhoh75,QID795
qid796_1,danc75,QID796_1
qid797_1,heal75,QID797_1
qid798_1,baby75,QID798_1
qid799_1,love75,QID799_1
qid1536_1,achi75,QID1536_1
qid1537_1,visi75,QID1537_1
qid1538,like75,QID1538
qid803,play76,QID803
qid804,uhoh76,QID804
qid805_1,danc76,QID805_1
qid806_1,heal76,QID806_1
qid807_1,baby76,QID807_1
qid808_1,love76,QID808_1
qid1539_1,achi76,QID1539_1
qid1540_1,visi76,QID1540_1
qid1541,like76,QID1541
qid812,play77,QID812
qid813,uhoh77,QID813
qid814_1,danc77,QID814_1
qid815_1,heal77,QID815_1
qid816_1,baby77,QID816_1
qid817_1,love77,QID817_1
qid1542_1,achi77,QID1542_1
qid1543_1,visi77,QID1543_1
qid1544,like77,QID1544
qid821,play78,QID821
qid822,uhoh78,QID822
qid823_1,danc78,QID823_1
qid824_1,heal78,QID824_1
qid825_1,baby78,QID825_1
qid826_1,love78,QID826_1
qid1545_1,achi78,QID1545_1
qid1546_1,visi78,QID1546_1
qid1547,like78,QID1547
qid830,play79,QID830
qid831,uhoh79,QID831
qid832_1,danc79,QID832_1
qid833_1,heal79,QID833_1
qid834_1,baby79,QID834_1
qid835_1,love79,QID835_1
qid1548_1,achi79,QID1548_1
qid1549_1,visi79,QID1549_1
qid1550,like79,QID1550
qid839,play80,QID839
qid840,uhoh80,QID840
qid841_1,danc80,QID841_1
qid842_1,heal80,QID842_1
qid843_1,baby80,QID843_1
qid844_1,love80,QID844_1
qid1551_1,achi80,QID1551_1
qid1552_1,visi80,QID1552_1
qid1553,like80,QID1553
qid848,play81,QID848
qid849,uhoh81,QID849
qid850_1,danc81,QID850_1
qid851_1,heal81,QID851_1
qid852_1,baby81,QID852_1
qid853_1,love81,QID853_1
qid1554_1,achi81,QID1554_1
qid1555_1,visi81,QID1555_1
qid1556,like81,QID1556
qid857,play82,QID857
qid858,uhoh82,QID858
qid859_1,danc82,QID859_1
qid860_1,heal82,QID860_1
qid861_1,baby82,QID861_1
qid862_1,love82,QID862_1
qid1557_1,achi82,QID1557_1
qid1558_1,visi82,QID1558_1
qid1559,like82,QID1559
qid866,play83,QID866
qid867,uhoh83,QID867
qid868_1,danc83,QID868_1
qid869_1,heal83,QID869_1
qid870_1,baby83,QID870_1
qid871_1,love83,QID871_1
qid1560_1,achi83,QID1560_1
qid1561_1,visi83,QID1561_1
qid1562,like83,QID1562
qid875,play84,QID875
qid876,uhoh84,QID876
qid877_1,danc84,QID877_1
qid878_1,heal84,QID878_1
qid879_1,baby84,QID879_1
qid880_1,love84,QID880_1
qid1563_1,achi84,QID1563_1
qid1564_1,visi84,QID1564_1
qid1565,like84,QID1565
qid884,play85,QID884
qid885,uhoh85,QID885
qid886_1,danc85,QID886_1
qid887_1,heal85,QID887_1
qid888_1,baby85,QID888_1
qid889_1,love85,QID889_1
qid1566_1,achi85,QID1566_1
qid1567_1,visi85,QID1567_1
qid1568,like85,QID1568
qid893,play86,QID893
qid894,uhoh86,QID894
qid895_1,danc86,QID895_1
qid896_1,heal86,QID896_1
qid897_1,baby86,QID897_1
qid898_1,love86,QID898_1
qid1569_1,achi86,QID1569_1
qid1570_1,visi86,QID1570_1
qid1571,like86,QID1571
qid902,play87,QID902
qid903,uhoh87,QID903
qid904_1,danc87,QID904_1
qid905_1,heal87,QID905_1
qid906_1,baby87,QID906_1
qid907_1,love87,QID907_1
qid1572_1,achi87,QID1572_1
qid1573_1,visi87,QID1573_1
qid1574,like87,QID1574
qid911,play88,QID911
qid912,uhoh88,QID912
qid913_1,danc88,QID913_1
qid914_1,heal88,QID914_1
qid915_1,baby88,QID915_1
qid916_1,love88,QID916_1
qid1575_1,achi88,QID1575_1
qid1576_1,visi88,QID1576_1
qid1577,like88,QID1577
qid920,play89,QID920
qid921,uhoh89,QID921
qid922_1,danc89,QID922_1
qid923_1,heal89,QID923_1
qid924_1,baby89,QID924_1
qid925_1,love89,QID925_1
qid1578_1,achi89,QID1578_1
qid1579_1,visi89,QID1579_1
qid1580,like89,QID1580
qid929,play90,QID929
qid930,uhoh90,QID930
qid931_1,danc90,QID931_1
qid932_1,heal90,QID932_1
qid933_1,baby90,QID933_1
qid934_1,love90,QID934_1
qid1581_1,achi90,QID1581_1
qid1582_1,visi90,QID1582_1
qid1583,like90,QID1583
qid938,play91,QID938
qid939,uhoh91,QID939
qid940_1,danc91,QID940_1
qid941_1,heal91,QID941_1
qid942_1,baby91,QID942_1
qid943_1,love91,QID943_1
qid1584_1,achi91,QID1584_1
qid1585_1,visi91,QID1585_1
qid1586,like91,QID1586
qid947,play92,QID947
qid948,uhoh92,QID948
qid949_1,danc92,QID949_1
qid950_1,heal92,QID950_1
qid951_1,baby92,QID951_1
qid952_1,love92,QID952_1
qid1587_1,achi92,QID1587_1
qid1588_1,visi92,QID1588_1
qid1589,like92,QID1589
qid956,play93,QID956
qid957,uhoh93,QID957
qid958_1,danc93,QID958_1
qid959_1,heal93,QID959_1
qid960_1,baby93,QID960_1
qid961_1,love93,QID961_1
qid1590_1,achi93,QID1590_1
qid1591_1,visi93,QID1591_1
qid1592,like93,QID1592
qid965,play94,QID965
qid966,uhoh94,QID966
