id,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
dong1293,atla1278,tiba1234,Dong,FALSE,language,definitely endangered,8.64119,11.9924,doh,,,0,0,0,NG
dong1294,nilo1247,lotu1249,Dongotono,FALSE,language,vulnerable,4.43426,33.2429,ddd,,,0,0,0,SD
dong1295,nilo1247,nort2815,Dongjol,FALSE,dialect,safe,,,,,,0,0,0,
dong1296,kres1240,gbay1288,Dongo (Sudan),FALSE,dialect,safe,,,,,,0,0,0,
dong1297,aust1307,baub1235,Dongay,FALSE,dialect,safe,,,,,,0,0,0,
dong1298,sino1245,yong1285,Dong-Qi,FALSE,dialect,safe,,,,,,0,0,0,
dong1299,sino1245,nort3268,Dong of Xinning,FALSE,dialect,safe,,,,,,0,0,0,
donn1239,dogo1299,esca1235,Donno So Dogon,FALSE,language,safe,14.34019,-3.51468,dds,,,0,0,0,
dook1241,afro1255,guru1271,Dooka,FALSE,dialect,safe,,,,,,0,0,0,
doon1238,atla1278,nort3267,Doondo,FALSE,language,vulnerable,-4.30483,13.5641,dde,,,0,0,0,CD CG
dora1241,chib1249,isth1243,Doracic,FALSE,family,safe,,,,,,0,2,0,
dora1242,chib1249,dora1241,Dorasque,FALSE,language,extinct,8.567442,-82.375717,,,,0,0,0,CO
dorb1242,mong1329,kalm1244,Dörböt,FALSE,dialect,safe,,,,,,0,0,0,
dorb1243,atla1278,gbii1242,Dorbor,FALSE,dialect,safe,,,,,,0,0,0,
dord1238,sino1245,aona1235,Dordar,FALSE,dialect,safe,,,,,,0,0,0,
dori1246,aust1307,sout3198,Dori'o,FALSE,language,safe,-9.11536,160.897,dor,,,0,0,0,SB
dori1247,yare1250,yare1250,Doriri-Abia,FALSE,family,safe,,,,,,0,2,5,
dori1248,indo1319,anci1242,Doric,FALSE,dialect,safe,,,,,,0,0,0,
dorl1237,drav1251,koya1251,Dorli,FALSE,dialect,safe,,,,,,0,0,0,
doro1261,atla1278,cent2041,Dorobo (Central Grebo),FALSE,dialect,safe,,,,,,0,0,0,
doro1262,nilo1247,mosi1247,Dorobo,FALSE,dialect,safe,,,,,,0,0,0,
doro1263,heib1242,otor1240,Dorobe,FALSE,dialect,safe,,,,,,0,0,0,
doro1264,aust1307,gayo1244,Dorot,FALSE,dialect,safe,,,,,,0,0,0,
doro1265,east2503,wipi1242,Dorogori,FALSE,dialect,safe,,,,,,0,0,0,
doro1266,manu1261,manu1261,Doromu-Koki,FALSE,language,safe,-9.56687,147.986,kqc,,,0,0,3,PG
doro1267,book1242,book1242,Dororo,TRUE,language,extinct,-8.30556,157.767,drr,,,0,0,0,SB
dorr1240,nilo1247,nuer1246,Dor,FALSE,dialect,safe,,,,,,0,0,0,
dorr1248,aust1305,chra1242,Dor (Chrau),FALSE,dialect,safe,,,,,,0,0,0,
dorr1249,saha1256,wagi1247,Dor (Saharan),FALSE,dialect,safe,,,,,,0,0,0,
dors1239,dizo1235,shek1245,Dorsha,FALSE,dialect,safe,,,,,,0,0,0,
doru1238,sino1245,tilu1238,Dorunkecha,FALSE,dialect,safe,,,,,,0,0,0,
dorz1235,gong1255,cent2046,Dorze,FALSE,language,vulnerable,6.25237,37.5554,doz,,,0,0,0,ET
doso1238,,,Doso-Turumsa,FALSE,family,safe,,,,,,0,2,0,
